????????,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
??????,2783084,2871568,2962226,3053335,3138471,3225214,3314509,3407417,3508126,3611998,3719189,3820801,3922130,4023462,4124795,4226410,4327751,4429084,4530416,4632025,4733357,4854013,4976684,5101152,5227193,5354656,5483450,5613463,5744561,5876648
"""????? ???????",1787562,1838807,1891171,1943658,1992577,2042306,2093381,2146400,2203738,2262735,2323469,2376893,2430170,2483446,2536725,2590152,2643435,2696714,2749990,2803411,2856691,2921170,2986714,3053183,3120448,3188387,3256906,3325905,3395260,"3464858"""
????,192743,198584,204547,210518,216078,221726,227520,233530,240023,246696,253558,259420,265268,271117,276967,282837,288691,294546,300402,306275,312135,318629,325271,332050,338919,345875,352875,359934,366989,374041
"""????? ???????? ????????",34755,36117,37521,38938,40269,41631,43039,44510,46111,47770,49489,50590,51686,52780,53872,54966,56056,57143,58229,59316,60399,61745,63114,64507,65915,67340,68779,70225,71682,"73143"""
??????,127341,130238,133174,136094,138793,141516,144293,147155,150227,153363,156566,159554,162504,165427,168323,171201,174042,176855,179641,182409,185140,188465,191873,195341,198856,202401,205946,209505,213049,216586
?????,248102,254845,261708,268560,274922,281366,287961,294782,302133,309666,317391,324250,331069,337868,344648,351428,358169,364890,371591,378291,384953,392407,400012,407754,415606,423572,431584,439631,447695,455752
???????,68361,70448,72580,74716,76704,78725,80798,82949,85273,87663,90120,92244,94365,96488,98613,100746,102876,105009,107143,109286,111425,113915,116454,119042,121671,124332,127025,129745,132481,135233
?????,46077,47328,48601,49873,51053,52248,53472,54738,56101,57499,58932,60481,62035,63598,65170,66754,68343,69941,71547,73166,74790,76568,78380,80225,82099,84000,85920,87861,89822,91794
??? ???? ???????,202759,209679,216769,223896,230556,237342,244328,251596,259474,267598,275981,281219,286391,291512,296584,301624,306597,311520,316394,321234,326008,333194,340475,347818,355202,362602,370030,377465,384903,392363
"""????? ????????",31089,32105,33145,34188,35162,36154,37173,38232,39378,40559,41776,42587,43389,44184,44973,45757,46532,47301,48062,48820,49568,50481,51410,52355,53317,54289,55268,56256,57248,"58243"""
?????,320809,325033,329274,333451,337278,341108,344982,348941,353157,357424,361743,368974,376134,383245,390308,397345,404311,411227,418095,424935,431706,441585,451584,461666,471834,482064,492340,502625,512937,523257
??? ???,130361,134525,138783,143054,147037,151088,155251,159574,164250,169064,174022,178153,182278,186409,190547,194701,198850,203005,207165,211342,215514,220227,225020,229884,234802,239740,244704,249689,254657,259616
??????,385165,399905,415069,430370,444725,459402,474564,490393,507611,525433,543891,559421,575051,590818,606720,622793,638968,655277,671721,688337,705053,723954,743121,762541,782227,802172,822435,842969,863797,884830
"""???? ???",995522,1032761,1071055,1109677,1145894,1182908,1221128,1261017,1304388,1349263,1395720,1443908,1491960,1540016,1588070,1636258,1684316,1732370,1780426,1828614,1876666,1932843,1989970,2047969,2106745,2166269,2226544,2287558,2349301,"2411790"""
"""???? ???",178605,186485,194637,202909,210712,218729,227051,235782,245326,255256,265594,275338,285095,294891,304724,314622,324533,334480,344468,354519,364582,377279,390245,403457,416906,430546,444412,458489,472777,"487272"""
"""???",357768,370198,382943,395760,407745,419963,432546,445645,459851,474509,489642,505505,521251,536929,552537,568122,583593,598993,614324,629631,644823,661607,678669,695967,713488,731212,749100,767167,785403,"803813"""
??? ?????,144015,149456,155052,160696,165988,171397,176982,182811,189148,195705,202493,209306,216087,222857,229615,236380,243114,249837,256547,263265,269946,277964,286070,294260,302507,310820,319208,327642,336138,344670
???????,195475,202247,209190,216172,222700,229354,236207,243340,251075,259056,267294,277047,286810,296607,306440,316333,326236,336174,346146,356179,366223,377819,389604,401582,413727,426056,438557,451255,464127,477214
???,119659,124375,129233,134140,138749,143465,148342,153439,158988,164737,170697,176712,182717,188732,194754,200801,206840,212886,218941,225020,231092,238174,245382,252703,260117,267635,275267,283005,290856,298821
